fruit_id,name,roman_name,type,description
160,Fruit of the Copy,Kopi Kopi no Mi,Paramecia,This fruit allows its user to copy other people's abilities by touching and taking a hit from an opponent.
161,Bushy Fruit,Mosa Mosa no Mi,Paramecia,"This fruit allows its user to accelerate the growth rate of plants and control them as they wish. Its user can use it mainly to trap or attack enemies using vines but also to protect themselves from enemy attacks. However, it can only grow plants in environments where vegetation grows."
162,Young-Young Fruit,Modo Modo no Mi,Paramecia,"This fruit allows its holder to rejuvenate people and return objects to their state 12 years previously (for example: volcanic rocks will return to the state of lava). This power manifests itself by creating a pink aura with which its user must touch their target to activate it. The more the object or person is touched by this power, the more they become younger. If the number of 'touches' is greater than the age of the person or object touched (minus 12 years for each touch), he/she disappears permanently"
163,Furnace Fruit,Gutsu Gutsu no Mi,Paramecia,This fruit allows its user to produce and melt any structure in silver. He can also create weapons and transform living beings into silver statues.
164,Trainer Fruit,Peto Peto no Mi,Paramecia,"This fruit allows you to produce a sticky green material and wrap it around the neck of any living being to control it with the sound of your voice. The 'necklace' is indestructible. However, it is possible to protect yourself from its effects by covering your ears. The user also has the ability to use their power on themselves to increase their physical abilities and obey their own orders so as to carry them out effectively."
165,Fruit of the Link,Kone Kone no Mi,Paramecia,"This fruit allows its user to transform the people it touches into other individuals, thus copying their appearance, abilities and strength. However, the user cannot transform themselves."
166,Fruit of Plus-Plus,Moa Moa no Mi,Paramecia,"It allows its user to increase various object capacities (speed, size, ...) that it touches up to 100 times the initial capacity. Its user can by extension increase their own abilities."
167,Cube Fruit,Kyubu Kyubu no Mi,Paramecia,"It allows its user to transform anything they touch into cubes (ground, ships, humans) and control them. These assembled cubes can form more complex structures."
168,Fruit of Magic,Maji Maji no Mi,Paramecia,This fruit allows its user to use magical techniques resembling tricks performed by magicians during shows.
169,Nitro-Fruit,Nito Nito no Mi,Paramecia,"This fruit gives its user the properties of nitroglycerin: with each clap of the hands, an explosion occurs."
170,Fruit of love,Hore Hore no Mi,Paramecia,This fruit allows its user to manipulate people by making them fall in love. He carries out this manipulation by sending a ray of light onto his victims via the wings of his peacock outfit.
171,Fruit of the Wall Passer,Nuku Nuke no Mi,Paramecia,This fruit allows its user to pass through solid objects to escape or to pass through walls.
172,Tchou-Tchou fruit,Koro Koro no Mi,Paramecia,This fruit allows its user to transform their hands and feet into wheels. The user therefore becomes a 'wagon man'.
173,Fruit of Chains,Jara Jara no Mi,Paramecia,This fruit allows its user to produce and control chains at will.
174,Fruit of Camouflage,Iro Iro no Mi,Paramecia,This fruit allows its user to produce and create paint to camouflage people or objects.
175,Fruit of Gold,Gol Gol no Mi,Paramecia,"This fruit allows its user to manipulate gold at will. He can turn solid objects into gold and also melt them. He can cover his body in gold, transforming into a giant golem made of solid gold. He can also make buildings out of gold and control them."
176,Fruit of Luck,Raki Raki no Mi,Paramecia,This fruit allows its user to steal luck from the people it touches and use it for themselves.
177,Heat Wave Fruit,Nepa Nepa no Mi,Paramecia,This fruit allows its user to generate heat waves.
178,Fruit of Things,Mono Mono no Mi,Paramecia,"This fruit allows its user to clone anything, such as the user himself, other people or even objects."
179,Fruit of Vision,Bijo Bijo no Mi,Paramecia,This fruit allows him to create temporary illusions in the shape of the desired person.
180,Fruit of Shot,Ute Ute no Mi,Paramecia,This fruit allows its user to transform anything into a firearm.
181,Chubby Fruit,Pocha Pocha no Mi,Paramecia,This fruit allows its user to add fat to the body of their opponents in order to immobilize them.
182,Burner Fruit,Bana Bana no Mi,Paramecia,This fruit allows its user to transform their jealousy into heat and flames.
183,Fruit of the Delivery Man,Deri Deri no Mi,Paramecia,This fruit allows its user to send an object to any target within sight of the user.
184,Fruit of Dissolution,Dero Dero no Mi,Paramecia,"This fruit allows its user to dissolve anything into liquid, including themselves, by shooting rays into the eyes of their opponents."
185,Bomb Fruit,Basu Basu no Mi,Paramecia,This fruit allows its user to transform anything into a bomb.
186,Scrap Fruit,Gasha Gasha no Mi,Paramecia,This fruit allows its user to manipulate and combine objects such as iron and weapons.
187,Fruit of Necromancy,Nibi Nibi no Mi,Paramecia,This fruit allows its user to reproduce the appearance of the deceased.
188,Fruit of Dissolution,Toro Toro no Mi,Logia,the body of the person who eats it turns into liquid.
189,Paper Fruit,Pasa Pasa no Mi,Logia,"the body of whoever eats it turns into pieces of paper. In particular, it allows you to easily dodge attacks and even produce cards or even books. Very effective against electricity but vulnerable to fire."
190,Candy Fruit,Ame Ame no Mi,Logia,"the body of the person who eats it turns into syrup. It can also contain in its body any solid mass passing through it (swords, fists, feet, etc.). However, it is vulnerable if it is affected by a floury material."
191,"Fruit of the Volatile, Eagle version",Tori Tori no Mi moderu Washi,Zoan,Very similar to the Falcon version of the Volatile Fruit
192,"Bovine Fruit, Llama version",Ushi Ushi no Mi moderu Lama,Zoan,Allows you to transform into a llama
193,"Canine Fruit, Raccoon version",Inu Inu no Mi Moderu Bake-danuki,Mythical Zoan,"Allows you to transform into Tanuki, a Japanese mythological creature."
194,"Bat Fruit, Vampire version",Batto Batto no Mi Moderu Banpaia,Mythical Zoan,"Allows its user to transform into a vampire, a legendary horrific creature. This fruit allows you to absorb the vitality of people by making them age."
195,"Fruit of the Volatile, Naked version","Tori Tori no Mi, Moderu Naked",Mythical Zoan,Allows its user to transform into a nude.
196,"Hito Hito no Mi, model Nika","Hito Hito no Mi, Moderu: Nika",Mythical Zoan,"The Hito Hito no Mi, Nika model is a Mythical Zoan-type Devil Fruit which allows its user to transform into Nika, the ""Sun God""."
197,Artificial Devil Fruit from Vegapunk,,smile,
198,Ciboulot fruit,Nomi Nomi no Mi,Paramecia,"Nomi Nomi no Mi is a Paramecia-type Devil Fruit that allows the brain of the person who eats it to grow indefinitely as it ingests new knowledge, transforming the person who eats it into a Man -Brain"
199,Fruit of strength,Riki Riki no Mi,Paramecia,It is a fruit that allows the person who eats it to acquire Herculean strength.
200,Fruit of teleportation,Wapu Wapu no mi,Paramecia,It is a devil fruit that allows whoever eats it to teleport and teleport anything from one place to another
201,Island fruit,Shima Shima no Mi,Paramecia,"It is a devil fruit that allows its user to become one with an entire island, thus becoming an Island Man"
202,Fruit of gigantism,Deka Deka no Mi,Paramecia,"It is a devil fruit that allows its user to increase their size, making them a Gigantified Man"
203,Glouglou Fruit,Gabu Gabu no Mi,Paramecia,"It is a devil fruit that allows its user to control alcohol, making him an Alcohol Man"
204,Fruit of illness,Shiku Shiku no Mi,Paramecia,It is a devil fruit that allows whoever eats it to create any form of contagious and virulent disease.
205,"Horse fruit, Pegasus model","Uma Uma no Mi, Pegasus model",Mythical Zoan,It is a devil fruit that allows the user to transform into a flying winged horse or a hybrid flying winged horse
206,Phoenix Fruit,Tori Tori no Mi,Mythical Zoan,It allows you to transform into a Phoenix or a hybrid form
